bodyPart,kor_bodyPart,equipment,kor_equipment,gifUrl,id,name,kor_name,target,kor_target
upper legs,다리 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0984.gif,984,band lying hip internal rotation,밴드 라잉 히프 인터널 로테이션,glutes,둔근
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1002.gif,1002,band lying straight leg raise,밴드 라잉 스트레이트 레그 라이즈,abs,복근
upper arms,팔 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0986.gif,986,band one arm overhead biceps curl,밴드 원 암 오버헤드 비셉스 컬,biceps,이두근
upper legs,다리 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0987.gif,987,band one arm single leg split squat,밴드 원 암 싱글 레그 스플릿 스쾃,quads,대퇴사두근
back,등,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0988.gif,988,band one arm standing low row,밴드 원 암 스탠딩 로 로,upper back,등 상부
chest,가슴,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0989.gif,989,band one arm twisting chest press,밴드 원 암 트위스팅 체스트 프레스,pectorals,가슴
back,등,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0990.gif,990,band one arm twisting seated row,밴드 원 암 트위스팅 시트 로,upper back,등 상부
upper legs,다리 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0991.gif,991,band pull through,밴드 풀 스루,glutes,둔근
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0992.gif,992,band push sit-up,밴드 푸시 시트 업,abs,복근
shoulders,어깨,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0993.gif,993,band reverse fly,밴드 리버스 플라이,delts,삼각근
lower arms,팔 하부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0994.gif,994,band reverse wrist curl,밴드 리버스 리스트 컬,forearms,팔뚝
upper legs,다리 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0996.gif,996,band seated hip internal rotation,밴드 시트 히프 인터널 로테이션,glutes,둔근
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1011.gif,1011,band seated twist,밴드 시트 트위스트,abs,복근
shoulders,어깨,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0997.gif,997,band shoulder press,밴드 숄더 프레스,delts,삼각근
back,등,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1018.gif,1018,band shrug,밴드 슈러그,traps,승모근
upper arms,팔 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0998.gif,998,band side triceps extension,밴드 사이드 트리셉스 익스텐션,triceps,삼두근
lower legs,다리 하부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0999.gif,999,band single leg calf raise,밴드 싱글 레그 칼프 라이즈,calves,종아리
lower legs,다리 하부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1000.gif,1000,band single leg reverse calf raise,밴드 싱글 레그 리버스 칼프 라이즈,calves,종아리
upper legs,다리 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1001.gif,1001,band single leg split squat,밴드 싱글 레그 스플릿 스쾃,quads,대퇴사두근
upper legs,다리 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1004.gif,1004,band squat,밴드 스쾃,glutes,둔근
upper legs,다리 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1003.gif,1003,band squat row,밴드 스쾃 로,glutes,둔근
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1005.gif,1005,band standing crunch,밴드 스탠딩 크런치,abs,복근
shoulders,어깨,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1022.gif,1022,band standing rear delt row,밴드 스탠딩 리어 델트 로,delts,삼각근
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1007.gif,1007,band standing twisting crunch,밴드 스탠딩 트위스팅 크런치,abs,복근
upper legs,다리 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1008.gif,1008,band step-up,밴드 스텝 업,glutes,둔근
upper legs,다리 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1009.gif,1009,band stiff leg deadlift,밴드 스티프 레그 데드리프트,glutes,둔근
upper legs,다리 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1023.gif,1023,band straight back stiff leg deadlift,밴드 스트레이트 백 스티프 레그 데드리프트,glutes,둔근
back,등,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1010.gif,1010,band straight leg deadlift,밴드 스트레이트 레그 데드리프트,spine,척추
shoulders,어깨,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1012.gif,1012,band twisting overhead press,밴드 트위스팅 오버헤드 프레스,delts,삼각근
lower legs,다리 하부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1369.gif,1369,band two legs calf raise - (band under both legs) v. 2,밴드 투 레그스 칼프 라이즈 (밴드 언더 보스 레그스) 브이. 2,calves,종아리
back,등,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1013.gif,1013,band underhand pulldown,밴드 언더핸드 풀다운,lats,광배
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1014.gif,1014,band v-up,밴드 브이 업,abs,복근
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1015.gif,1015,band vertical pallof press,밴드 버티컬 팔로프 프레스,abs,복근
lower arms,팔 하부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1016.gif,1016,band wrist curl,밴드 리스트 컬,forearms,팔뚝
shoulders,어깨,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1017.gif,1017,band y-raise,밴드 와이 라이즈,delts,삼각근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0023.gif,23,barbell alternate biceps curl,바벨 알터나이트 비셉스 컬,biceps,이두근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0024.gif,24,barbell bench front squat,바벨 벤치 프런트 스쾃,quads,대퇴사두근
chest,가슴,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0025.gif,25,barbell bench press,바벨 벤치 프레스,pectorals,가슴
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0026.gif,26,barbell bench squat,바벨 벤치 스쾃,quads,대퇴사두근
back,등,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1316.gif,1316,barbell bent arm pullover,바벨 벤트 암 풀오버,lats,광배
back,등,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0027.gif,27,barbell bent over row,바벨 벤트 오버 로,upper back,등 상부
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/2407.gif,2407,barbell biceps curl (with arm blaster),바벨 비셉스 컬 (위드 암 블라스터),biceps,이두근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0028.gif,28,barbell clean and press,바벨 클린 앤드 프레스,quads,대퇴사두근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0029.gif,29,barbell clean-grip front squat,바벨 클린 그립 프런트 스쾃,glutes,둔근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0030.gif,30,barbell close-grip bench press,바벨 클로스 그립 벤치 프레스,triceps,삼두근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0031.gif,31,barbell curl,바벨 컬,biceps,이두근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0032.gif,32,barbell deadlift,바벨 데드리프트,glutes,둔근
chest,가슴,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0033.gif,33,barbell decline bench press,바벨 데클린 벤치 프레스,pectorals,가슴
back,등,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0034.gif,34,barbell decline bent arm pullover,바벨 데클린 벤트 암 풀오버,lats,광배
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0035.gif,35,barbell decline close grip to skull press,바벨 데클린 클로스 그립 투 스컬 프레스,triceps,삼두근
chest,가슴,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1255.gif,1255,barbell decline pullover,바벨 데클린 풀오버,pectorals,가슴
chest,가슴,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0036.gif,36,barbell decline wide-grip press,바벨 데클린 와이드 그립 프레스,pectorals,가슴
back,등,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0037.gif,37,barbell decline wide-grip pullover,바벨 데클린 와이드 그립 풀오버,lats,광배
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0038.gif,38,barbell drag curl,바벨 드래그 컬,biceps,이두근
lower legs,다리 하부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1370.gif,1370,barbell floor calf raise,바벨 플로어 칼프 라이즈,calves,종아리
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0039.gif,39,barbell front chest squat,바벨 프런트 체스트 스쾃,glutes,둔근
shoulders,어깨,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0041.gif,41,barbell front raise,바벨 프런트 라이즈,delts,삼각근
chest,가슴,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0040.gif,40,barbell front raise and pullover,바벨 프런트 라이즈 앤드 풀오버,pectorals,가슴
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0042.gif,42,barbell front squat,바벨 프런트 스쾃,glutes,둔근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0043.gif,43,barbell full squat,바벨 풀 스쾃,glutes,둔근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1461.gif,1461,barbell full squat (back pov),바벨 풀 스쾃 (백 포브이),glutes,둔근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1462.gif,1462,barbell full squat (side pov),바벨 풀 스쾃 (사이드 포브이),glutes,둔근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1545.gif,1545,barbell full zercher squat,바벨 풀 체르허 스쾃,glutes,둔근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1409.gif,1409,barbell glute bridge,바벨 글루트 브리지,glutes,둔근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/3562.gif,3562,barbell glute bridge two legs on bench (male),바벨 글루트 브리지 투 레그스 온 벤치 (메일),glutes,둔근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0044.gif,44,barbell good morning,바벨 굿 모닝,hamstrings,햄스트링
chest,가슴,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0045.gif,45,barbell guillotine bench press,바벨 길로틴 벤치 프레스,pectorals,가슴
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0046.gif,46,barbell hack squat,바벨 해크 스쾃,glutes,둔근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1436.gif,1436,barbell high bar squat,바벨 하이 바 스쾃,glutes,둔근
chest,가슴,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0047.gif,47,barbell incline bench press,바벨 인클라인 벤치 프레스,pectorals,가슴
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1719.gif,1719,barbell incline close grip bench press,바벨 인클라인 클로스 그립 벤치 프레스,triceps,삼두근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0048.gif,48,barbell incline reverse-grip press,바벨 인클라인 리버스 그립 프레스,triceps,삼두근
back,등,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0049.gif,49,barbell incline row,바벨 인클라인 로,upper back,등 상부
chest,가슴,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0050.gif,50,barbell incline shoulder raise,바벨 인클라인 숄더 라이즈,serratus anterior,앞톱니근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0051.gif,51,barbell jefferson squat,바벨 제퍼슨 스쾃,glutes,둔근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0052.gif,52,barbell jm bench press,바벨 제이엠 벤치 프레스,triceps,삼두근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0053.gif,53,barbell jump squat,바벨 점프 스쾃,glutes,둔근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1410.gif,1410,barbell lateral lunge,바벨 라테랄 런지,glutes,둔근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1435.gif,1435,barbell low bar squat,바벨 로 바 스쾃,glutes,둔근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0054.gif,54,barbell lunge,바벨 런지,glutes,둔근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1720.gif,1720,barbell lying back of the head tricep extension,바벨 라잉 백 오브 더 헤드 트라이셉 익스텐션,triceps,삼두근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0055.gif,55,barbell lying close-grip press,바벨 라잉 클로스 그립 프레스,triceps,삼두근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0056.gif,56,barbell lying close-grip triceps extension,바벨 라잉 클로스 그립 트리셉스 익스텐션,triceps,삼두근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0057.gif,57,barbell lying extension,바벨 라잉 익스텐션,triceps,삼두근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0058.gif,58,barbell lying lifting (on hip),바벨 라잉 리프팅 (온 히프),glutes,둔근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0059.gif,59,barbell lying preacher curl,바벨 라잉 프리처 컬,biceps,이두근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0061.gif,61,barbell lying triceps extension,바벨 라잉 트리셉스 익스텐션,triceps,삼두근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0060.gif,60,barbell lying triceps extension skull crusher,바벨 라잉 트리셉스 익스텐션 스컬 크러셔,triceps,삼두근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0063.gif,63,barbell narrow stance squat,바벨 내로 스탠스 스쾃,glutes,둔근
back,등,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0064.gif,64,barbell one arm bent over row,바벨 원 암 벤트 오버 로,upper back,등 상부
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0065.gif,65,barbell one arm floor press,바벨 원 암 플로어 프레스,triceps,삼두근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0066.gif,66,barbell one arm side deadlift,바벨 원 암 사이드 데드리프트,glutes,둔근
shoulders,어깨,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0067.gif,67,barbell one arm snatch,바벨 원 암 스내치,delts,삼각근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0068.gif,68,barbell one leg squat,바벨 원 레그 스쾃,quads,대퇴사두근
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0069.gif,69,barbell overhead squat,바벨 오버헤드 스쾃,quads,대퇴사두근
lower arms,팔 하부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1411.gif,1411,barbell palms down wrist curl over a bench,바벨 팜스 다운 리스트 컬 오버 에이 벤치,forearms,팔뚝
lower arms,팔 하부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1412.gif,1412,barbell palms up wrist curl over a bench,바벨 팜스 업 리스트 컬 오버 에이 벤치,forearms,팔뚝
back,등,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/3017.gif,3017,barbell pendlay row,바벨 펜들레이 로,upper back,등 상부
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/1751.gif,1751,barbell pin presses,바벨 핀 프레스,triceps,삼두근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0070.gif,70,barbell preacher curl,바벨 프리처 컬,biceps,이두근
waist,허리,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0071.gif,71,barbell press sit-up,바벨 프레스 시트 업,abs,복근
upper arms,팔 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0072.gif,72,barbell prone incline curl,바벨 프론 인클라인 컬,biceps,이두근
back,등,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0073.gif,73,barbell pullover,바벨 풀오버,lats,광배
back,등,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0022.gif,22,barbell pullover to press,바벨 풀오버 투 프레스,lats,광배
upper legs,다리 상부,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0074.gif,74,barbell rack pull,바벨 랙 풀,glutes,둔근
shoulders,어깨,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0075.gif,75,barbell rear delt raise,바벨 리어 델트 라이즈,delts,삼각근
shoulders,어깨,barbell,바벨,http://d205bpvrqc9yn1.cloudfront.net/0076.gif,76,barbell rear delt row,바벨 리어 델트 로,delts,삼각근
